Date;USDCOP;BRENT
16/06/2021;3678.23;74.39
15/06/2021;3663.95;73.99
11/06/2021;3603.44;72.69
10/06/2021;3589.94;72.52
9/06/2021;3591.9;72.22
8/06/2021;3604.85;72.22
4/06/2021;3599.98;71.89
3/06/2021;3646.58;71.31
2/06/2021;3649.8;71.35
1/06/2021;3666.21;70.25
31/05/2021;3711.95;69.32
28/05/2021;3707.15;69.63
27/05/2021;3729.19;69.46
26/05/2021;3743.15;68.87
25/05/2021;3734.9;68.65
24/05/2021;3736.25;68.46
21/05/2021;3746.15;66.44
20/05/2021;3696.84;65.11
19/05/2021;3672.45;66.66
18/05/2021;3666.45;68.71
14/05/2021;3704.54;68.71
13/05/2021;3729.79;67.05
12/05/2021;3747.06;69.32
11/05/2021;3708.81;68.55
10/05/2021;3740.42;68.32
7/05/2021;3763.64;68.28
6/05/2021;3821.25;68.09
5/05/2021;3845.59;68.96
4/05/2021;3824.86;68.88
3/05/2021;3819.67;67.56
30/04/2021;3729.88;67.25
29/04/2021;3710.47;68.56
28/04/2021;3708.85;67.27
27/04/2021;3715.51;66.42
26/04/2021;3652.5;65.65
23/04/2021;3639.63;66.11
22/04/2021;3637.61;65.4
21/04/2021;3627.09;65.32
20/04/2021;3639.46;66.57
19/04/2021;3602.02;67.05
16/04/2021;3609.7;66.77
15/04/2021;3612.88;66.94
14/04/2021;3672.36;66.58
13/04/2021;3666.46;63.67
12/04/2021;3653.54;63.28
9/04/2021;3639.01;62.95
8/04/2021;3642.07;63.2
7/04/2021;3643.11;63.16
6/04/2021;3646.17;62.74
5/04/2021;3660.2;62.15
31/03/2021;3704.37;63.54
30/03/2021;3720.43;64.14
29/03/2021;3680.71;64.98
26/03/2021;3667.92;64.57
24/03/2021;3614.09;64.41
23/03/2021;3579.04;60.79
19/03/2021;3551.6;64.53
18/03/2021;3570.78;63.28
17/03/2021;3567.33;68
16/03/2021;3558.49;68.39
15/03/2021;3572.19;68.88
12/03/2021;3568.25;69.22
11/03/2021;3542.72;69.63
10/03/2021;3582.17;67.9
9/03/2021;3598.41;67.52
8/03/2021;3615.32;68.24
5/03/2021;3635.33;69.36
4/03/2021;3643.62;66.74
3/03/2021;3661.06;64.07
2/03/2021;3637.01;62.7
1/03/2021;3616.94;63.69
26/02/2021;3608.27;66.13
25/02/2021;3592.82;66.88
24/02/2021;3571.22;67.04
23/02/2021;3590.88;65.37
22/02/2021;3597.85;65.24
19/02/2021;3559.25;62.91
18/02/2021;3539.68;63.93
17/02/2021;3540.46;64.34
16/02/2021;3521.39;63.35
15/02/2021;3501.84;63.3
12/02/2021;3510.12;62.43
11/02/2021;3527.71;61.14
10/02/2021;3557.99;61.47
9/02/2021;3582.55;61.09
8/02/2021;3561.38;60.56
5/02/2021;3547.25;59.34
4/02/2021;3555.52;58.84
3/02/2021;3528.58;58.46
2/02/2021;3530.27;57.46
1/02/2021;3568.8;56.35
29/01/2021;3575.78;55.88
28/01/2021;3572.99;55.53
27/01/2021;3621.18;55.81
26/01/2021;3596.38;55.91
25/01/2021;3589.13;55.88
22/01/2021;3527.05;55.41
21/01/2021;3479.85;56.1
20/01/2021;3471.73;56.08
19/01/2021;3487.04;55.9
18/01/2021;3480.35;54.75
15/01/2021;3465.69;55.1
14/01/2021;3462.02;56.42
13/01/2021;3478.77;56.06
12/01/2021;3483.5;56.58
8/01/2021;3475.8;55.99
7/01/2021;3474.13;54.38
6/01/2021;3425.09;54.3
5/01/2021;3446.24;53.6
4/01/2021;3432.69;51.09
30/12/2020;3429.73;51.34
29/12/2020;3480.71;51.09
28/12/2020;3495.02;50.86
24/12/2020;3499.47;51.29
23/12/2020;3488.25;51.2
22/12/2020;3451.75;50.08
21/12/2020;3427.28;50.91
18/12/2020;3419.94;52.26
17/12/2020;3412.43;51.5
16/12/2020;3418.14;51.08
15/12/2020;3424.97;50.76
14/12/2020;3429.97;50.29
11/12/2020;3435.54;49.97
10/12/2020;3439.45;50.25
9/12/2020;3465.68;48.86
7/12/2020;3487.87;48.79
4/12/2020;3467.04;49.25
3/12/2020;3476.1;48.71
